seqid	start	end	gene.id	gene.name	attributes
2L	27657231	27742119	AGAP006176	AGAP006176	ID=AGAP006176;description=unspecified product
2L	27762337	27763185	AGAP006177	AGAP006177	ID=AGAP006177;description=unspecified product
2L	27787820	27792177	AGAP006178	AGAP006178	ID=AGAP006178;description=troponin C
2L	27798852	27808355	AGAP006179	AGAP006179	ID=AGAP006179;description=troponin C
2L	27812338	27816097	AGAP006180	AGAP006180	ID=AGAP006180;description=LRRCT domain-containing protein [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4GRH9]
2L	27817370	27818383	AGAP006181	AGAP006181	ID=AGAP006181;description=troponin C
2L	27818981	27820630	AGAP006182	AGAP006182	ID=AGAP006182;description=troponin C
2L	27821217	27852784	AGAP006183	AGAP006183	ID=AGAP006183;description=slit protein
2L	27856240	27871810	AGAP006184	AGAP006184	ID=AGAP006184;description=unspecified product
2L	27872529	27882653	AGAP006185	AGAP006185	ID=AGAP006185;description=unspecified product
2L	27894349	27928675	AGAP006186	Ca-P60a	ID=AGAP006186;Name=Ca-P60A;description=Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type [Source:UniProtKB/Swiss-Prot%3BAcc:Q7PPA5]
2L	27931493	27932433	AGAP006187	AGAP006187	ID=AGAP006187;description=Protein G12 [Source:UniProtKB/Swiss-Prot%3BAcc:Q17040]
2L	27934178	28181661	AGAP029656	AGAP029656	ID=AGAP029656;description=unspecified product
2L	28195405	28196645	AGAP006191	Cht24	ID=AGAP006191;Name=Cht24;description=chitinase
2L	28208835	28210442	AGAP006192	AGAP006192	ID=AGAP006192;description=chymotrypsin B chain C
2L	28210461	28211767	AGAP029794	AGAP029794	ID=AGAP029794;description=unspecified product
2L	28212028	28212829	AGAP006193	AGAP006193	ID=AGAP006193;description=unspecified product
2L	28213429	28214272	AGAP006194	AGAP006194	ID=AGAP006194;description=unspecified product
2L	28215110	28215991	AGAP006195	AGAP006195	ID=AGAP006195;description=unspecified product
2L	28216227	28217474	AGAP006196	AGAP006196	ID=AGAP006196;description=unspecified product
2L	28218544	28219386	AGAP006197	AGAP006197	ID=AGAP006197;description=unspecified product
