seqid	start	end	gene.id	gene.name	attributes
2R	40169860	40252895	AGAP003579	AGAP003579	ID=AGAP003579;description=cadherin-87A
2R	40286509	40288011	AGAP003580	AGAP003580	ID=AGAP003580;description=unspecified product
2R	40335703	40336953	AGAP003581	AGAP003581	ID=AGAP003581;description=D-xylulose reductase A
2R	40337212	40338521	AGAP003582	AGAP003582	ID=AGAP003582;description=D-xylulose reductase A
2R	40339598	40340889	AGAP003583	AGAP003583	ID=AGAP003583;description=L-iditol 2-dehydrogenase
2R	40342413	40344359	AGAP003584	AGAP003584	ID=AGAP003584;description=L-iditol 2-dehydrogenase
2R	40344547	40345709	AGAP003585	AGAP003585	ID=AGAP003585;description=unspecified product
2R	40345852	40349366	AGAP003586	AGAP003586	ID=AGAP003586;description=Phosphate carrier%2C mitochondrial
2R	40350229	40354115	AGAP013333	AGAP013333	ID=AGAP013333;description=Phosphate carrier%2C mitochondrial
2R	40355281	40362119	AGAP003587	AGAP003587	ID=AGAP003587;description=sodium-independent sulfate anion transporter
2R	40362315	40363352	AGAP003588	Vath	ID=AGAP003588;Name=VATH;description=V-type H+-transporting ATPase subunit H
2R	40363500	40365128	AGAP003589	AGAP003589	ID=AGAP003589;description=prolyl-tRNA synthetase
2R	40365169	40366189	AGAP003590	AGAP003590	ID=AGAP003590;description=unspecified product
2R	40367467	40368944	AGAP003591	AGAP003591	ID=AGAP003591;description=LRR-repeat protein 1
2R	40369001	40370901	AGAP003592	Rplp0	ID=AGAP003592;Name=RpLP0;description=60S ribosomal protein LP0
2R	40371249	40375009	AGAP003593	AGAP003593	ID=AGAP003593;description=Protein arginine methyltransferase RmtB
2R	40375322	40377383	AGAP003594	AGAP003594	ID=AGAP003594;description=unspecified product
2R	40378222	40382994	AGAP003595	AGAP003595	ID=AGAP003595;description=rRNA biogenesis protein RRP5
2R	40384322	40392531	AGAP003596	AGAP003596	ID=AGAP003596;description=unspecified product
2R	40392844	40401314	AGAP003597	AGAP003597	ID=AGAP003597;description=histone-lysine N-methyltransferase SUV39H
2R	40402605	40404314	AGAP003598	AGAP003598	ID=AGAP003598;description=template-activating factor I
2R	40404713	40405928	AGAP003599	Atpsyno	ID=AGAP003599;Name=ATPsynO;description=F-type H+-transporting ATPase oligomycin sensitivity conferral protein
2R	40406790	40425548	AGAP003600	AGAP003600	ID=AGAP003600;description=Elongation of very long chain fatty acids protein [Source:UniProtKB/TrEMBL%3BAcc:Q7QAP0]
2R	40436422	40438659	AGAP003601	AGAP003601	ID=AGAP003601;description=alpha-1%2C2-mannosyltransferase
2R	40439000	40441564	AGAP003602	AGAP003602	ID=AGAP003602;description=methyltransferase-like protein 9
2R	40441741	40444467	AGAP003603	AGAP003603	ID=AGAP003603;description=unspecified product
2R	40446242	40461911	AGAP003604	AGAP003604	ID=AGAP003604;description=unspecified product
2R	40463165	40467259	AGAP003605	AGAP003605	ID=AGAP003605;description=cullin 2
2R	40467630	40471697	AGAP003606	AGAP003606	ID=AGAP003606;description=Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL%3BAcc:Q7QAN6]
2R	40473359	40478475	AGAP003607	AGAP003607	ID=AGAP003607;description=Cad96Cb%2C isoform B [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4GJ87]
2R	40480397	40486507	AGAP003608	Cyp4aa1	ID=AGAP003608;Name=CYP4AA1;description=cytochrome P450
2R	40488669	40496599	AGAP003610	AGAP003610	ID=AGAP003610;description=unspecified product
2R	40504935	40510879	AGAP003611	AGAP003611	ID=AGAP003611;description=Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL%3BAcc:Q7QAN3]
2R	40511024	40512566	AGAP003612	AGAP003612	ID=AGAP003612;description=unspecified product
2R	40513174	40515128	AGAP003613	AGAP003613	ID=AGAP003613;description=palmitoyltransferase ZDHHC3
2R	40514933	40516149	AGAP003614	AGAP003614	ID=AGAP003614;description=unspecified product
2R	40520634	40522708	AGAP013196	AGAP013196	ID=AGAP013196;description=unspecified product
2R	40525884	40526604	AGAP013432	AGAP013432	ID=AGAP013432;description=unspecified product
2R	40527519	40528653	AGAP029070	AGAP029070	ID=AGAP029070;description=unspecified product
2R	40534564	40535307	AGAP029099	AGAP029099	ID=AGAP029099;description=unspecified product
2R	40537116	40537686	AGAP029064	AGAP029064	ID=AGAP029064;description=unspecified product
2R	40540298	40542287	AGAP029085	AGAP029085	ID=AGAP029085;description=unspecified product
2R	40551012	40551774	AGAP029083	AGAP029083	ID=AGAP029083;description=unspecified product
2R	40553470	40555226	AGAP003615	AGAP003615	ID=AGAP003615;description=toll-interacting protein
2R	40555619	40564539	AGAP003616	AGAP003616	ID=AGAP003616;description=unspecified product
2R	40567282	40576549	AGAP003618	AGAP003618	ID=AGAP003618;description=serine/threonine-protein kinase LATS1/2
2R	40577034	40586604	AGAP003619	AGAP003619	ID=AGAP003619;description=transcription elongation factor SPT6
2R	40588719	40590121	AGAP003620	AGAP003620	ID=AGAP003620;description=unspecified product
2R	40592264	40593130	AGAP003621	AGAP003621	ID=AGAP003621;description=coiled-coil domain-containing protein 25
