seqid	start	end	gene.id	gene.name	attributes
2R	22966603	22976721	AGAP002566	Gprhis	ID=AGAP002566;Name=GPRHIS;description=putative histamine receptor
2R	22992516	22998741	AGAP002567	AGAP002567	ID=AGAP002567;description=hormone-sensitive lipase
2R	22999014	23000671	AGAP002568	AGAP002568	ID=AGAP002568;description=Nat13 protein
2R	23000992	23003522	AGAP002569	AGAP002569	ID=AGAP002569;description=serine incorporator 1
2R	23003440	23005355	AGAP002570	AGAP002570	ID=AGAP002570;description=glutamyl-tRNA synthetase
2R	23005557	23007902	AGAP002571	AGAP002571	ID=AGAP002571;description=solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter)
2R	23016855	23094544	AGAP002573	AGAP002573	ID=AGAP002573;description=GTPase-activating Rap/Ran-GAP domain-like protein 3
2R	23075482	23077568	AGAP002572	AGAP002572	ID=AGAP002572;description=unspecified product
2R	23096751	23107410	AGAP002575	AGAP002575	ID=AGAP002575;description=unspecified product
2R	23111857	23127257	AGAP002576	AGAP002576	ID=AGAP002576;description=unspecified product
2R	23127788	23157680	AGAP002577	AGAP002577	ID=AGAP002577;description=voltage-dependent p/q type calcium channel
2R	23159327	23208231	AGAP002578	AGAP002578	ID=AGAP002578;description=unspecified product
2R	23252660	23272420	AGAP029605	AGAP029605	ID=AGAP029605;description=unspecified product
2R	23272431	23275155	AGAP002580	AGAP002580	ID=AGAP002580;description=DNA helicase
2R	23275913	23278373	AGAP002581	AGAP002581	ID=AGAP002581;description=unspecified product
2R	23278561	23279772	AGAP002582	AGAP002582	ID=AGAP002582;description=unspecified product
2R	23280868	23282316	AGAP002583	AGAP002583	ID=AGAP002583;description=unspecified product
2R	23282878	23290569	AGAP002585	AGAP002585	ID=AGAP002585;description=unspecified product
2R	23291468	23296228	AGAP002586	AGAP002586	ID=AGAP002586;description=glycogen(starch) synthase
2R	23306923	23309356	AGAP002587	AGAP002587	ID=AGAP002587;description=unspecified product
2R	23313530	23314901	AGAP002588	AGAP002588	ID=AGAP002588;description=unspecified product
2R	23411485	23412341	AGAP002589	AGAP002589	ID=AGAP002589;description=dynein light intermediate chain 1%2C cytosolic
2R	23522689	23660418	AGAP002591	AGAP002591	ID=AGAP002591;description=unspecified product
2R	23665003	23665949	AGAP013318	AGAP013318	ID=AGAP013318;description=outer membrane lipoprotein Blc
2R	23668154	23669008	AGAP029385	AGAP029385	ID=AGAP029385;description=Lipocln_cytosolic_FA-bd_dom domain-containing protein [Source:UniProtKB/TrEMBL%3BAcc:A0A453YZH3]
2R	23669361	23670068	AGAP013451	AGAP013451	ID=AGAP013451;description=outer membrane lipoprotein Blc (Precursor)
2R	23672936	23673764	AGAP013229	AGAP013229	ID=AGAP013229;description=outer membrane lipoprotein BLC precursor
2R	23674824	23677548	AGAP002592	AGAP002592	ID=AGAP002592;description=outer membrane lipoprotein Blc
2R	23677600	23678609	AGAP002593	AGAP002593	ID=AGAP002593;description=outer membrane lipoprotein Blc
2R	23681002	23682727	AGAP002594	AGAP002594	ID=AGAP002594;description=apolipoprotein D
2R	23695505	23696886	AGAP002595	AGAP002595	ID=AGAP002595;description=outer mitochondrial translocase subunit
2R	23723071	23724325	AGAP002596	AGAP002596	ID=AGAP002596;description=Metalloendopeptidase [Source:UniProtKB/TrEMBL%3BAcc:Q7QCE7]
2R	23754229	23767559	AGAP013190	AGAP013190	ID=AGAP013190;description=unspecified product
2R	23768409	23777155	AGAP002597	AGAP002597	ID=AGAP002597;description=proteasome activator subunit 4
2R	23777702	23779843	AGAP002598	AGAP002598	ID=AGAP002598;description=unspecified product
2R	23779841	23783717	AGAP002599	AGAP002599	ID=AGAP002599;description=polyubiquitin
2R	23784014	23785836	AGAP002600	AGAP002600	ID=AGAP002600;description=tRNA nucleotidyltransferase (CCA-adding enzyme)
2R	23818536	23820826	AGAP002601	AGAP002601	ID=AGAP002601;description=nervous fingers
2R	23823552	23825531	AGAP002602	AGAP002602	ID=AGAP002602;description=unspecified product
2R	23825464	23827161	AGAP013296	AGAP013296	ID=AGAP013296;description=Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4
2R	23826316	23830836	AGAP002603	AGAP002603	ID=AGAP002603;description=elongation factor 1 alpha-like protein
2R	23827848	23828853	AGAP012994	AGAP012994	ID=AGAP012994;description=unspecified product
2R	23830883	23831679	AGAP002604	AGAP002604	ID=AGAP002604;description=unspecified product
2R	23831914	23835963	AGAP002605	AGAP002605	ID=AGAP002605;description=DNA-repair protein XRCC1
2R	23833514	23834366	AGAP013156	AGAP013156	ID=AGAP013156;description=unspecified product
2R	23835373	23836583	AGAP002606	Rpn12	ID=AGAP002606;Name=Rpn12;description=26S proteasome 26S non-ATPase subunit N12
2R	23836783	23841399	AGAP002607	AGAP002607	ID=AGAP002607;description=unspecified product
2R	23841578	23843238	AGAP002608	AGAP002608	ID=AGAP002608;description=Ribokinase [Source:UniProtKB/TrEMBL%3BAcc:Q7QCF9]
2R	23845513	23846011	AGAP013336	AGAP013336	ID=AGAP013336;description=unspecified product
2R	23847727	23849797	AGAP002609	AGAP002609	ID=AGAP002609;description=unspecified product
2R	24041705	24060269	AGAP002610	AGAP002610	ID=AGAP002610;description=unspecified product
2R	24131080	24132084	AGAP028478	AGAP028478	ID=AGAP028478;description=unspecified product
2R	24132261	24133568	AGAP028479	AGAP028479	ID=AGAP028479;description=unspecified product
2R	24133938	24134998	AGAP028480	AGAP028480	ID=AGAP028480;description=unspecified product
2R	24135269	24137558	AGAP028481	AGAP028481	ID=AGAP028481;description=unspecified product
2R	24139899	24140963	AGAP029096	AGAP029096	ID=AGAP029096;description=unspecified product
2R	24141504	24141978	AGAP002612	Cpr7	ID=AGAP002612;Name=CPR7;description=cuticular protein RR-1 family 7
2R	24143091	24143991	AGAP002613	Cpr8	ID=AGAP002613;Name=CPR8;description=cuticular protein RR-1 family 8
2R	24157984	24159849	AGAP029201	Ir199	ID=AGAP029201;Name=Ir199;description=ionotropic receptor
2R	24162465	24169088	AGAP002614	AGAP002614	ID=AGAP002614;description=splicing factor%2C arginine/serine-rich 16
2R	24170690	24173398	AGAP013074	AGAP013074	ID=AGAP013074;description=unspecified product
2R	24176182	24201062	AGAP012958	AGAP012958	ID=AGAP012958;description=IRF-2BP1_2 domain-containing protein [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4HAM5]
2R	24202699	24204014	AGAP002615	AGAP002615	ID=AGAP002615;description=unspecified product
2R	24231154	24235245	AGAP002616	AGAP002616	ID=AGAP002616;description=unspecified product
2R	24239416	24240991	AGAP002617	AGAP002617	ID=AGAP002617;description=unspecified product
2R	24241055	24245098	AGAP002618	AGAP002618	ID=AGAP002618;description=symplekin
2R	24245443	24251444	AGAP002619	AGAP002619	ID=AGAP002619;description=unspecified product
2R	24261709	24262499	AGAP002620	Miso	ID=AGAP002620;Name=MISO;description=mating-induced stimulator of oogenesis MISO
2R	24265093	24267058	AGAP002621	AGAP002621	ID=AGAP002621;description=unspecified product
2R	24271906	24276543	AGAP002622	AGAP002622	ID=AGAP002622;description=sodium-coupled monocarboxylate transporter 1
2R	24278593	24285872	AGAP013538	AGAP013538	ID=AGAP013538;description=unspecified product
2R	24289520	24295428	AGAP002623	AGAP002623	ID=AGAP002623;description=tubulin polyglutamylase TTLL6/13
2R	24299584	24301931	AGAP002624	AGAP002624	ID=AGAP002624;description=solute carrier family 39 (zinc transporter)%2C member 1/2/3
2R	24304518	24307559	AGAP002625	Ctl9	ID=AGAP002625;Name=CTL9;description=C-type lectin (CTL)
2R	24308913	24326182	AGAP013226	AGAP013226	ID=AGAP013226;description=unspecified product
2R	24326828	24328465	AGAP002626	AGAP002626	ID=AGAP002626;description=rhomboid-like protein
2R	24328431	24329612	AGAP002627	AGAP002627	ID=AGAP002627;description=S-formylglutathione hydrolase [Source:UniProtKB/TrEMBL%3BAcc:Q7QCH6]
2R	24496127	24528705	AGAP002628	AGAP002628	ID=AGAP002628;description=opioid binding protein/cell adhesion molecule-like
2R	24564879	24567474	AGAP002629	AGAP002629	ID=AGAP002629;description=unspecified product
2R	24619825	24620932	AGAP002630	AGAP002630	ID=AGAP002630;description=NADH dehydrogenase (ubiquinone) 1 beta subcomplex 2
2R	24621991	24622170	AGAP002631	AGAP002631	ID=AGAP002631;description=unspecified product
2R	24622462	24622880	AGAP002632	AGAP002632	ID=AGAP002632;description=unspecified product
2R	24694665	24698605	AGAP002633	Gr53	ID=AGAP002633;Name=Gr53;description=gustatory receptor 53
2R	24772576	24784554	AGAP002634	AGAP002634	ID=AGAP002634;description=membrane dipeptidase
2R	24811173	24812613	AGAP002635	Gr13	ID=AGAP002635;Name=Gr13;description=gustatory receptor 13
2R	24820728	24821113	AGAP002636	AGAP002636	ID=AGAP002636;description=unspecified product
2R	24821628	24821897	AGAP002637	AGAP002637	ID=AGAP002637;description=unspecified product
2R	24822272	24822694	AGAP013045	AGAP013045	ID=AGAP013045;description=unspecified product
2R	24825285	24848323	AGAP002638	Abch1	ID=AGAP002638;Name=ABCH1;description=ATP-binding cassette transporter (ABC transporter) family H member 1
2R	24850239	24851846	AGAP002639	Or39	ID=AGAP002639;Name=Or39;description=odorant receptor 39
2R	24857474	24859095	AGAP002640	Or38	ID=AGAP002640;Name=Or38;description=odorant receptor 38
2R	24867791	24868460	AGAP013517	AGAP013517	ID=AGAP013517;description=unspecified product
2R	24869480	24870154	AGAP013086	AGAP013086	ID=AGAP013086;description=unspecified product
2R	24871016	24871694	AGAP013456	AGAP013456	ID=AGAP013456;description=unspecified product
2R	24872733	24873411	AGAP013225	AGAP013225	ID=AGAP013225;description=unspecified product
2R	24875495	24876175	AGAP013322	AGAP013322	ID=AGAP013322;description=unspecified product
2R	24876664	24877349	AGAP013353	AGAP013353	ID=AGAP013353;description=unspecified product
2R	24877895	24878576	AGAP013110	AGAP013110	ID=AGAP013110;description=unspecified product
2R	24881361	24882076	AGAP013484	AGAP013484	ID=AGAP013484;description=unspecified product
2R	24887231	24887946	AGAP013247	AGAP013247	ID=AGAP013247;description=unspecified product
2R	24888935	24889563	AGAP013316	AGAP013316	ID=AGAP013316;description=unspecified product
2R	24889907	24890303	AGAP002641	AGAP002641	ID=AGAP002641;description=unspecified product
2R	24891121	24941628	AGAP002644	AGAP002644	ID=AGAP002644;description=phospholipid-translocating ATPase
2R	24891704	24894264	AGAP002642	AGAP002642	ID=AGAP002642;description=DNA mismatch repair protein MSH5
2R	24908246	24909052	AGAP002643	AGAP002643	ID=AGAP002643;description=unspecified product
2R	24942992	24959244	AGAP002645	AGAP002645	ID=AGAP002645;description=septin 2
2R	24948720	24949426	AGAP013264	AGAP013264	ID=AGAP013264;description=unspecified product
2R	24949912	24950590	AGAP013050	AGAP013050	ID=AGAP013050;description=unspecified product
2R	24950967	24951681	AGAP013113	AGAP013113	ID=AGAP013113;description=unspecified product
2R	24953935	24954646	AGAP013369	AGAP013369	ID=AGAP013369;description=unspecified product
2R	24955085	24955774	AGAP013448	AGAP013448	ID=AGAP013448;description=unspecified product
2R	24959689	24961156	AGAP002646	AGAP002646	ID=AGAP002646;description=cyclin-dependent kinase 7
2R	24961372	24973933	AGAP002647	AGAP002647	ID=AGAP002647;description=phosphorylase kinase gamma subunit
